trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_backward_fall_006,fall,1,backward_fall,0.00,1,0,-160,-0.978,0.122,0.035,1.1,5.6,0.2,0.986,0.435,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.01,2,1,-159,-0.977,0.123,0.038,1.4,4.1,0.3,0.985,0.113,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.02,3,2,-158,-0.977,0.121,0.038,1.3,2.9,0.5,0.985,0.009,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.03,4,3,-157,-0.985,0.123,0.045,0.8,2.6,-0.3,0.993,0.837,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.04,5,4,-156,-0.979,0.131,0.028,-0.6,3.2,-0.6,0.988,0.492,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.05,6,5,-155,-0.984,0.122,0.033,0.9,2.6,-0.4,0.992,0.384,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.06,7,6,-154,-0.989,0.13,0.046,3.5,1.0,0.0,0.999,0.652,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.07,8,7,-153,-0.988,0.132,0.045,5.4,0.2,0.9,0.998,0.089,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.08,9,8,-152,-0.982,0.12,0.027,5.4,1.0,0.9,0.99,0.828,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.09,10,9,-151,-0.975,0.119,0.016,3.2,1.4,0.5,0.982,0.762,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.10,11,10,-150,-0.979,0.118,0.009,1.0,1.1,-0.2,0.986,0.436,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.11,12,11,-149,-0.987,0.125,0.008,-0.6,-2.0,-1.0,0.995,0.843,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.12,13,12,-148,-0.995,0.127,0.032,0.7,-4.0,-0.7,1.004,0.892,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.13,14,13,-147,-0.991,0.127,0.051,1.8,-2.3,-0.5,1.001,0.31,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.14,15,14,-146,-0.995,0.122,0.043,3.3,-2.2,-0.6,1.003,0.263,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.15,16,15,-145,-0.987,0.125,0.046,3.1,-2.4,-0.9,0.996,0.691,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.16,17,16,-144,-0.995,0.125,0.049,3.0,-2.0,-1.0,1.004,0.761,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.17,18,17,-143,-0.993,0.127,0.038,2.2,-3.6,-1.7,1.002,0.163,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.18,19,18,-142,-0.998,0.132,0.053,2.3,-4.3,-1.7,1.008,0.583,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.19,20,19,-141,-1.0,0.133,0.051,2.3,-4.2,-0.7,1.01,0.215,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.20,21,20,-140,-1.003,0.134,0.053,2.3,-4.0,-0.4,1.013,0.272,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.21,22,21,-139,-1.004,0.131,0.059,2.3,-4.0,-0.1,1.014,0.112,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.22,23,22,-138,-0.992,0.134,0.045,2.0,-3.9,0.2,1.002,1.171,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.23,24,23,-137,-0.986,0.134,0.061,1.5,-3.4,0.1,0.997,0.591,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.24,25,24,-136,-0.979,0.132,0.047,2.1,-3.4,-0.2,0.989,0.773,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.25,26,25,-135,-0.975,0.127,0.065,2.5,-3.6,-0.2,0.986,0.325,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.26,27,26,-134,-0.972,0.129,0.061,3.1,-3.3,-0.3,0.983,0.283,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.27,28,27,-133,-0.975,0.129,0.064,3.2,-3.2,-0.6,0.985,0.25,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.28,29,28,-132,-0.983,0.126,0.067,3.6,-3.3,-0.9,0.993,0.802,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.29,30,29,-131,-0.986,0.128,0.053,4.1,-2.9,-0.8,0.996,0.265,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.30,31,30,-130,-0.987,0.13,0.05,4.7,-2.7,-0.8,0.997,0.122,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.31,32,31,-129,-0.998,0.132,0.064,4.6,-2.6,-0.8,1.008,1.127,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.32,33,32,-128,-0.995,0.127,0.064,4.7,-1.9,-0.5,1.005,0.354,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.33,34,33,-127,-0.981,0.126,0.061,5.1,-1.6,-0.7,0.991,1.364,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.34,35,34,-126,-0.981,0.128,0.062,5.3,-0.9,-0.4,0.992,0.037,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.35,36,35,-125,-0.977,0.123,0.062,5.5,-0.4,-0.6,0.987,0.479,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.36,37,36,-124,-0.968,0.127,0.061,5.4,0.0,-0.9,0.978,0.83,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.37,38,37,-123,-0.975,0.126,0.064,5.4,0.1,-1.4,0.985,0.643,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.38,39,38,-122,-0.981,0.131,0.061,5.1,0.2,-1.3,0.992,0.666,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.39,40,39,-121,-0.979,0.125,0.064,4.5,0.0,-2.2,0.99,0.206,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.40,41,40,-120,-0.98,0.128,0.063,4.3,-0.2,-3.2,0.991,0.111,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.41,42,41,-119,-0.989,0.12,0.066,3.9,-1.1,-3.6,0.999,0.789,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.42,43,42,-118,-0.997,0.122,0.069,4.6,-1.0,-3.1,1.006,0.794,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.43,44,43,-117,-0.989,0.12,0.057,5.1,-1.5,-3.1,0.998,0.855,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.44,45,44,-116,-0.994,0.112,0.046,5.2,-1.3,-2.4,1.001,0.337,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
S01_backward_fall_006,fall,1,backward_fall,0.45,46,45,-115,-0.994,0.113,0.043,5.2,-0.1,-1.3,1.002,0.022,True,160,suspected_fall_peak3.01_az1.39_maxGyro444.2_thetaSwing59.4
