trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_forward_fall_013,fall,1,forward_fall,0.00,1,0,-160,-0.951,-0.151,0.155,6.7,2.4,14.7,0.975,0.846,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.01,2,1,-159,-0.953,-0.145,0.145,7.6,0.5,14.9,0.975,0.036,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.02,3,2,-158,-0.963,-0.138,0.155,7.3,-1.1,14.5,0.985,1.012,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.03,4,3,-157,-0.968,-0.129,0.158,6.6,-1.7,14.0,0.989,0.387,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.04,5,4,-156,-0.977,-0.123,0.162,5.4,-0.8,13.0,0.998,0.941,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.05,6,5,-155,-0.98,-0.114,0.173,4.6,1.0,12.0,1.002,0.363,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.06,7,6,-154,-0.989,-0.11,0.161,3.9,2.9,10.0,1.008,0.635,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.07,8,7,-153,-0.988,-0.104,0.147,3.3,4.7,8.1,1.004,0.407,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.08,9,8,-152,-0.981,-0.1,0.149,2.1,6.0,6.2,0.998,0.637,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
S01_forward_fall_013,fall,1,forward_fall,0.09,10,9,-151,-0.982,-0.101,0.139,2.7,6.6,5.4,0.997,0.064,True,160,suspected_fall_peak2.00_az1.11_maxGyro382.1_thetaSwing71.4
