trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_left_fall_006,fall,1,left_fall,0.00,1,0,-160,-0.936,-0.046,0.125,-18.1,-2.3,8.4,0.945,0.403,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.01,2,1,-159,-0.919,-0.058,0.14,-21.1,0.5,5.2,0.931,1.384,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.02,3,2,-158,-0.911,-0.068,0.151,-22.9,4.5,1.5,0.926,0.546,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.03,4,3,-157,-0.903,-0.084,0.167,-22.7,9.4,-1.4,0.923,0.343,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.04,5,4,-156,-0.894,-0.103,0.178,-22.4,14.0,-2.1,0.918,0.475,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.05,6,5,-155,-0.895,-0.11,0.185,-21.3,19.2,-3.5,0.921,0.281,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.06,7,6,-154,-0.902,-0.104,0.189,-19.3,24.9,-3.4,0.928,0.737,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.07,8,7,-153,-0.924,-0.089,0.185,-17.0,30.2,-3.0,0.947,1.853,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.08,9,8,-152,-0.953,-0.075,0.181,-14.0,33.6,-2.8,0.973,2.626,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.09,10,9,-151,-0.98,-0.056,0.182,-10.0,34.4,-2.0,0.998,2.556,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
S01_left_fall_006,fall,1,left_fall,0.10,11,10,-150,-1.001,-0.046,0.151,-5.6,34.7,-0.6,1.014,1.526,True,160,suspected_fall_peak1.33_az0.73_maxGyro145.3_thetaSwing46.5
