trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_sit_fall_020,fall,1,sit_fall,0.00,1,0,-160,0.024,-0.036,-1.092,-20.0,-13.9,57.9,1.093,9.667,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.01,2,1,-159,0.041,0.037,-1.02,-28.0,-10.3,49.4,1.021,7.188,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.02,3,2,-158,0.016,0.086,-0.935,-38.5,-11.5,40.4,0.939,8.21,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.03,4,3,-157,0.007,0.133,-0.803,-42.3,-4.1,32.5,0.814,12.45,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.04,5,4,-156,0.005,0.175,-0.778,-37.2,7.4,21.0,0.798,1.651,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.05,6,5,-155,-0.039,0.203,-0.739,-25.6,11.5,6.8,0.767,3.042,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.06,7,6,-154,-0.083,0.189,-0.725,-7.4,11.3,0.0,0.754,1.311,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.07,8,7,-153,-0.147,0.157,-0.755,20.5,4.8,2.5,0.785,3.075,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.08,9,8,-152,-0.182,0.084,-0.815,47.0,-6.2,12.3,0.84,5.476,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.09,10,9,-151,-0.184,-0.003,-0.893,69.6,-23.8,24.6,0.912,7.17,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.10,11,10,-150,-0.2,-0.077,-0.981,77.3,-40.9,32.0,1.005,9.306,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.11,12,11,-149,-0.204,-0.153,-1.009,67.6,-47.9,32.5,1.041,3.62,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.12,13,12,-148,-0.169,-0.167,-1.009,43.2,-44.7,24.3,1.036,0.438,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.13,14,13,-147,-0.143,-0.153,-0.964,9.8,-31.2,1.5,0.986,4.997,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.14,15,14,-146,-0.205,-0.136,-0.955,-23.6,-15.9,-27.5,0.986,0.022,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.15,16,15,-145,-0.297,-0.112,-0.97,-50.2,-9.2,-53.3,1.021,3.429,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.16,17,16,-144,-0.407,-0.085,-0.97,-60.4,-10.0,-71.5,1.056,3.531,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
S01_sit_fall_020,fall,1,sit_fall,0.17,18,17,-143,-0.502,-0.057,-1.004,-55.4,-20.9,-78.1,1.125,6.869,True,160,suspected_fall_peak1.65_az0.02_maxGyro135.0_thetaSwing20.5
