trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_arm_swing_006,not_fall,0,arm_swing,0.00,1,0,-160,-0.872,0.161,0.061,27.7,32.3,22.3,0.888,1.418,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.01,2,1,-159,-0.846,0.19,0.063,25.1,31.2,16.2,0.869,1.896,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.02,3,2,-158,-0.822,0.197,0.06,24.3,27.4,10.7,0.847,2.253,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.03,4,3,-157,-0.783,0.21,0.072,24.5,21.6,3.2,0.814,3.252,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.04,5,4,-156,-0.781,0.208,0.062,26.2,13.7,-4.0,0.811,0.335,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.05,6,5,-155,-0.776,0.216,0.042,26.2,6.1,-11.1,0.807,0.411,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.06,7,6,-154,-0.792,0.208,0.019,25.4,-2.9,-17.3,0.819,1.193,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.07,8,7,-153,-0.81,0.194,0.004,24.1,-12.4,-21.2,0.833,1.408,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.08,9,8,-152,-0.822,0.193,-0.004,20.1,-20.8,-23.0,0.844,1.11,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.09,10,9,-151,-0.817,0.202,-0.017,15.1,-25.1,-25.9,0.842,0.25,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.10,11,10,-150,-0.824,0.2,-0.001,11.5,-27.8,-29.6,0.848,0.651,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.11,12,11,-149,-0.839,0.191,-0.002,10.0,-29.5,-33.2,0.861,1.242,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.12,13,12,-148,-0.848,0.187,0.002,8.9,-33.7,-36.8,0.869,0.822,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.13,14,13,-147,-0.844,0.181,0.013,8.0,-39.3,-41.1,0.864,0.485,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.14,15,14,-146,-0.848,0.158,0.036,6.5,-46.1,-46.2,0.864,0.025,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
S01_arm_swing_006,not_fall,0,arm_swing,0.15,16,15,-145,-0.867,0.133,0.067,5.4,-50.5,-50.1,0.88,1.593,True,160,suspected_fall_peak2.40_az0.23_maxGyro220.0_thetaSwing67.9
