trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_bend_005,not_fall,0,bend,0.00,1,0,-160,-0.961,-0.112,0.254,-1.5,-4.0,-19.6,1.0,0.817,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.01,2,1,-159,-0.949,-0.104,0.241,-1.5,-3.0,-18.9,0.985,1.594,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.02,3,2,-158,-0.927,-0.097,0.226,-3.2,-2.7,-19.6,0.96,2.484,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.03,4,3,-157,-0.922,-0.104,0.215,-5.6,-3.7,-20.7,0.953,0.684,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.04,5,4,-156,-0.915,-0.134,0.138,-13.0,-0.7,-22.1,0.935,1.762,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.05,6,5,-155,-0.908,-0.148,0.166,-22.7,5.4,-23.8,0.935,0.024,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.06,7,6,-154,-0.898,-0.125,0.249,-22.3,7.7,-24.4,0.941,0.514,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.07,8,7,-153,-0.889,-0.139,0.228,-21.0,8.2,-24.1,0.929,1.177,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.08,9,8,-152,-0.87,-0.169,0.191,-22.4,7.9,-24.8,0.906,2.24,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.09,10,9,-151,-0.875,-0.185,0.172,-25.2,9.4,-26.1,0.911,0.457,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.10,11,10,-150,-0.903,-0.222,0.156,-30.5,10.6,-25.9,0.943,3.228,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.11,12,11,-149,-0.917,-0.241,0.174,-33.8,10.8,-24.0,0.965,2.135,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.12,13,12,-148,-0.912,-0.223,0.21,-33.5,7.1,-25.1,0.962,0.251,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.13,14,13,-147,-0.881,-0.216,0.229,-33.5,8.0,-26.5,0.936,2.6,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.14,15,14,-146,-0.889,-0.25,0.224,-33.1,10.0,-25.2,0.951,1.449,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.15,16,15,-145,-0.895,-0.24,0.21,-29.6,9.7,-25.6,0.95,0.054,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.16,17,16,-144,-0.845,-0.277,0.196,-32.0,18.8,-28.1,0.911,3.925,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
S01_bend_005,not_fall,0,bend,0.17,18,17,-143,-0.903,-0.298,0.274,-29.6,25.0,-24.2,0.99,7.895,True,160,suspected_fall_peak1.74_az0.28_maxGyro216.7_thetaSwing46.3
