trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_device_bump_004,not_fall,0,device_bump,0.00,1,0,-160,-1.059,0.08,0.383,25.1,24.3,-6.5,1.129,1.27,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.01,2,1,-159,-0.983,0.333,0.461,37.1,28.9,-22.4,1.136,0.652,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.02,3,2,-158,-1.124,0.174,0.336,39.0,22.0,-24.2,1.186,5.01,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.03,4,3,-157,-1.18,0.095,0.334,32.2,10.8,-9.0,1.23,4.453,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.04,5,4,-156,-1.15,0.113,0.346,31.0,4.2,-0.6,1.207,2.354,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.05,6,5,-155,-1.138,0.085,0.307,32.3,-2.4,5.1,1.182,2.465,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.06,7,6,-154,-1.046,0.071,0.266,30.2,-9.4,10.4,1.082,9.979,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.07,8,7,-153,-1.004,0.04,0.29,27.3,-9.0,12.0,1.046,3.603,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.08,9,8,-152,-0.984,0.018,0.288,26.2,-4.7,15.0,1.025,2.067,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.09,10,9,-151,-0.965,0.017,0.291,27.8,-2.5,16.5,1.008,1.767,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.10,11,10,-150,-0.95,0.024,0.336,34.7,2.8,16.7,1.008,0.037,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.11,12,11,-149,-0.929,0.027,0.33,43.6,12.2,13.8,0.987,2.144,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.12,13,12,-148,-0.923,0.028,0.269,47.1,18.9,9.6,0.962,2.508,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.13,14,13,-147,-0.914,0.056,0.237,45.2,22.2,5.0,0.946,1.56,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.14,15,14,-146,-0.891,0.081,0.196,38.9,18.0,0.0,0.916,3.041,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.15,16,15,-145,-0.883,0.084,0.202,32.1,9.8,-5.9,0.91,0.548,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.16,17,16,-144,-0.919,0.089,0.266,28.4,6.5,-7.9,0.961,5.101,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.17,18,17,-143,-0.92,0.09,0.305,28.4,5.6,-8.3,0.973,1.199,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.18,19,18,-142,-0.912,0.09,0.293,31.6,1.2,-9.3,0.962,1.12,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.19,20,19,-141,-0.896,0.082,0.274,34.4,-4.1,-10.9,0.941,2.085,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.20,21,20,-140,-0.878,0.076,0.258,35.4,-7.4,-13.9,0.919,2.231,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.21,22,21,-139,-0.887,0.08,0.238,34.9,-7.4,-16.4,0.922,0.349,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.22,23,22,-138,-0.895,0.088,0.231,32.6,-4.6,-18.0,0.928,0.61,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.23,24,23,-137,-0.92,0.088,0.237,30.6,-0.6,-17.6,0.954,2.575,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.24,25,24,-136,-0.955,0.102,0.222,27.7,3.4,-15.8,0.986,3.155,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.25,26,25,-135,-0.992,0.097,0.223,24.1,6.3,-13.9,1.022,3.628,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.26,27,26,-134,-1.014,0.107,0.271,22.1,9.3,-11.1,1.056,3.366,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.27,28,27,-133,-1.022,0.11,0.294,22.7,13.6,-7.9,1.069,1.374,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.28,29,28,-132,-1.03,0.092,0.291,23.7,14.7,-4.3,1.075,0.521,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.29,30,29,-131,-1.004,0.052,0.286,22.3,-3.3,-2.6,1.045,2.951,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.30,31,30,-130,-0.999,0.043,0.301,23.7,-8.4,-1.1,1.045,0.044,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.31,32,31,-129,-0.989,0.029,0.321,26.0,-7.8,1.0,1.041,0.39,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.32,33,32,-128,-0.972,0.018,0.285,28.6,-6.6,2.5,1.014,2.703,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.33,34,33,-127,-0.951,0.021,0.289,30.9,-3.7,2.3,0.995,1.9,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.34,35,34,-126,-0.938,0.009,0.271,31.9,-1.0,0.7,0.976,1.819,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.35,36,35,-125,-0.915,0.01,0.25,29.7,-1.6,-2.3,0.949,2.758,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.36,37,36,-124,-0.915,0.01,0.261,28.0,-5.0,-5.8,0.952,0.301,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.37,38,37,-123,-0.932,0.019,0.287,27.3,-6.9,-7.9,0.976,2.388,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.38,39,38,-122,-0.958,0.035,0.3,27.9,-7.7,-6.9,1.004,2.86,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.39,40,39,-121,-0.977,0.044,0.288,29.0,-9.8,-3.6,1.02,1.562,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
S01_device_bump_004,not_fall,0,device_bump,0.40,41,40,-120,-0.972,0.054,0.281,29.2,-12.8,0.4,1.013,0.682,True,160,suspected_fall_peak2.75_az0.10_maxGyro551.7_thetaSwing53.7
