trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_jump_014,not_fall,0,jump,0.00,1,0,-160,-0.958,-0.2,0.24,18.1,-1.9,-2.4,1.008,0.034,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.01,2,1,-159,-0.958,-0.196,0.236,17.2,-2.0,-1.6,1.007,0.153,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.02,3,2,-158,-0.954,-0.185,0.235,17.6,-1.8,-1.1,1.0,0.667,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.03,4,3,-157,-0.96,-0.181,0.242,17.3,-0.6,-0.3,1.007,0.698,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.04,5,4,-156,-0.965,-0.182,0.235,16.7,0.3,0.7,1.01,0.311,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.05,6,5,-155,-0.958,-0.177,0.238,16.4,1.2,1.3,1.002,0.748,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.06,7,6,-154,-0.953,-0.172,0.236,15.4,1.7,1.8,0.996,0.601,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.07,8,7,-153,-0.954,-0.171,0.235,13.5,1.3,2.2,0.997,0.089,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.08,9,8,-152,-0.951,-0.175,0.246,11.2,1.9,2.7,0.998,0.031,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.09,10,9,-151,-0.95,-0.17,0.248,9.2,1.9,2.6,0.997,0.082,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
S01_jump_014,not_fall,0,jump,0.10,11,10,-150,-0.948,-0.165,0.244,8.2,1.8,2.5,0.993,0.365,True,160,suspected_fall_peak2.05_az0.44_maxGyro72.9_thetaSwing29.2
