trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_lying_009,not_fall,0,lying,0.00,1,0,-160,-1.169,0.079,0.364,49.5,32.5,1.9,1.227,3.672,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.01,2,1,-159,-1.107,0.069,0.35,52.0,34.4,2.8,1.163,6.426,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.02,3,2,-158,-1.019,0.067,0.314,53.3,31.9,1.3,1.068,9.46,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.03,4,3,-157,-0.984,0.053,0.314,51.5,29.1,-2.4,1.034,3.407,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.04,5,4,-156,-0.981,0.049,0.317,50.4,25.8,-4.7,1.032,0.23,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.05,6,5,-155,-0.991,-0.001,0.305,48.0,23.5,-0.9,1.037,0.519,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.06,7,6,-154,-0.935,0.046,0.323,46.7,20.8,-1.8,0.991,4.651,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.07,8,7,-153,-0.93,0.019,0.305,46.8,18.8,-1.2,0.979,1.159,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.08,9,8,-152,-0.885,0.048,0.308,46.0,15.3,-1.6,0.938,4.084,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.09,10,9,-151,-0.867,0.013,0.302,45.1,13.9,-3.7,0.918,2.0,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.10,11,10,-150,-0.843,0.045,0.282,44.6,10.2,-7.0,0.89,2.853,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.11,12,11,-149,-0.835,0.071,0.274,43.1,6.9,-11.2,0.882,0.827,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.12,13,12,-148,-0.847,0.065,0.339,45.2,6.7,-15.4,0.915,3.334,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.13,14,13,-147,-0.906,0.082,0.247,44.0,5.6,-16.1,0.943,2.782,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.14,15,14,-146,-0.939,0.106,0.237,39.9,2.2,-16.5,0.975,3.197,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.15,16,15,-145,-0.935,0.112,0.265,34.2,-2.1,-15.3,0.979,0.403,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.16,17,16,-144,-1.01,0.101,0.229,28.7,-5.9,-14.0,1.041,6.217,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.17,18,17,-143,-0.936,0.134,0.362,32.4,-8.0,-12.2,1.013,2.808,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.18,19,18,-142,-1.008,0.114,0.292,20.5,-10.6,-13.6,1.056,4.315,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.19,20,19,-141,-0.99,0.168,0.413,53.6,-6.0,-5.5,1.086,2.984,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.20,21,20,-140,-1.013,0.196,0.25,61.6,-1.0,-4.7,1.062,2.416,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.21,22,21,-139,-0.989,0.255,0.123,52.3,-5.1,-3.2,1.029,3.304,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.22,23,22,-138,-1.001,0.166,0.029,27.4,-11.2,-6.1,1.015,1.329,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.23,24,23,-137,-0.965,0.171,0.14,12.4,-14.4,-9.7,0.99,2.513,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.24,25,24,-136,-1.032,0.163,0.22,11.4,-8.7,-13.6,1.068,7.766,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.25,26,25,-135,-1.085,0.116,0.266,18.7,0.7,-8.6,1.124,5.569,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.26,27,26,-134,-1.095,0.126,0.223,24.2,10.9,-5.0,1.125,0.161,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.27,28,27,-133,-1.093,0.106,0.231,23.5,19.4,-2.0,1.122,0.293,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.28,29,28,-132,-1.099,0.092,0.167,17.2,25.8,3.9,1.116,0.652,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.29,30,29,-131,-1.033,0.101,0.191,4.6,28.1,5.6,1.055,6.025,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.30,31,30,-130,-0.994,0.075,0.254,-4.9,28.7,6.8,1.029,2.687,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.31,32,31,-129,-0.927,0.076,0.331,-7.8,28.2,8.3,0.987,4.147,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.32,33,32,-128,-0.919,0.086,0.365,-1.5,22.4,12.7,0.993,0.615,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.33,34,33,-127,-0.87,0.077,0.361,4.4,17.1,14.6,0.945,4.793,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.34,35,34,-126,-0.689,0.095,0.3,22.4,4.3,5.0,0.757,18.786,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
S01_lying_009,not_fall,0,lying,0.35,36,35,-125,-0.656,0.054,0.262,29.7,5.1,1.9,0.708,4.923,True,160,suspected_fall_peak2.23_az1.06_maxGyro313.9_thetaSwing83.0
