trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_other_025,not_fall,0,other,0.00,1,0,-160,-1.036,-0.135,0.408,42.6,-21.4,-6.6,1.122,19.87,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.01,2,1,-159,-0.957,-0.088,0.504,45.9,-27.9,-8.0,1.085,3.649,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.02,3,2,-158,-0.899,-0.052,0.587,52.6,-26.4,-11.3,1.075,1.057,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.03,4,3,-157,-0.857,-0.036,0.626,61.2,-19.9,-14.9,1.062,1.265,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.04,5,4,-156,-0.833,-0.029,0.612,71.0,-12.1,-18.4,1.035,2.739,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.05,6,5,-155,-0.81,-0.031,0.572,79.4,-7.0,-21.8,0.992,4.27,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.06,7,6,-154,-0.814,-0.036,0.522,85.1,-3.6,-23.8,0.968,2.424,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.07,8,7,-153,-0.807,-0.028,0.458,88.8,-2.3,-24.4,0.928,3.972,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.08,9,8,-152,-0.799,-0.009,0.366,91.3,-4.1,-23.8,0.879,4.885,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.09,10,9,-151,-0.809,0.015,0.31,92.0,-6.6,-24.1,0.866,1.321,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
S01_other_025,not_fall,0,other,0.10,11,10,-150,-0.8,0.041,0.258,90.8,-7.6,-25.2,0.842,2.433,True,160,suspected_fall_peak2.17_az0.07_maxGyro281.1_thetaSwing62.8
