trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_run_021,not_fall,0,run,0.00,1,0,-160,-0.951,0.188,0.462,-30.3,-0.9,13.3,1.074,1.677,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.01,2,1,-159,-0.928,0.208,0.502,-25.4,3.1,13.9,1.076,0.236,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.02,3,2,-158,-0.927,0.213,0.537,-19.4,6.2,13.1,1.093,1.652,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.03,4,3,-157,-0.929,0.225,0.554,-13.1,7.3,12.9,1.105,1.235,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.04,5,4,-156,-0.94,0.234,0.549,-5.4,7.0,12.8,1.114,0.855,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.05,6,5,-155,-0.945,0.246,0.513,0.9,5.1,12.1,1.103,1.073,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.06,7,6,-154,-0.957,0.255,0.479,6.2,2.2,12.1,1.1,0.305,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.07,8,7,-153,-0.98,0.275,0.444,8.9,0.5,12.9,1.111,1.074,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.08,9,8,-152,-0.986,0.284,0.416,10.5,-0.8,14.5,1.107,0.349,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
S01_run_021,not_fall,0,run,0.09,10,9,-151,-0.982,0.305,0.399,11.2,-3.1,16.3,1.103,0.401,True,160,suspected_fall_peak2.02_az0.05_maxGyro227.5_thetaSwing55.2
