trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_sit_down_001,not_fall,0,sit_down,0.00,1,0,-160,-0.967,-0.084,0.288,4.9,0.2,0.6,1.013,0.107,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.01,2,1,-159,-0.963,-0.088,0.285,4.6,0.0,0.6,1.008,0.413,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.02,3,2,-158,-0.964,-0.083,0.284,3.6,-0.6,0.9,1.009,0.006,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.03,4,3,-157,-0.964,-0.083,0.285,3.7,-0.7,1.0,1.009,0.05,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.04,5,4,-156,-0.961,-0.082,0.295,3.4,-0.9,0.7,1.009,0.008,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.05,6,5,-155,-0.961,-0.083,0.294,3.6,-0.6,0.8,1.009,0.001,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.06,7,6,-154,-0.959,-0.091,0.303,3.8,-0.1,0.7,1.01,0.074,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.07,8,7,-153,-0.962,-0.086,0.299,4.5,0.3,0.9,1.011,0.116,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.08,9,8,-152,-0.958,-0.082,0.295,4.5,0.3,1.2,1.006,0.442,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.09,10,9,-151,-0.955,-0.082,0.292,4.8,0.0,0.9,1.002,0.431,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.10,11,10,-150,-0.963,-0.077,0.305,4.7,1.7,0.3,1.013,1.092,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.11,12,11,-149,-0.969,-0.079,0.305,5.5,1.8,0.1,1.019,0.614,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.12,13,12,-148,-0.971,-0.085,0.281,6.6,0.3,0.4,1.015,0.441,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.13,14,13,-147,-0.975,-0.086,0.275,5.9,-1.6,0.5,1.017,0.175,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.14,15,14,-146,-0.966,-0.081,0.283,4.8,-2.4,0.6,1.01,0.67,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.15,16,15,-145,-0.965,-0.077,0.29,4.1,-1.8,0.8,1.011,0.123,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.16,17,16,-144,-0.966,-0.083,0.295,3.6,-0.1,0.6,1.014,0.275,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.17,18,17,-143,-0.97,-0.079,0.294,3.7,0.7,1.0,1.017,0.299,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.18,19,18,-142,-0.97,-0.078,0.287,3.8,0.7,0.9,1.015,0.208,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.19,20,19,-141,-0.97,-0.085,0.286,3.6,0.3,0.9,1.015,0.02,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.20,21,20,-140,-0.969,-0.085,0.279,3.0,0.3,0.9,1.013,0.24,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.21,22,21,-139,-0.968,-0.087,0.282,2.7,0.3,0.6,1.012,0.025,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.22,23,22,-138,-0.961,-0.087,0.292,2.9,-0.1,0.4,1.008,0.43,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.23,24,23,-137,-0.961,-0.089,0.291,3.3,-0.4,0.6,1.008,0.001,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.24,25,24,-136,-0.96,-0.087,0.292,3.4,-0.3,0.4,1.008,0.028,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.25,26,25,-135,-0.964,-0.089,0.295,4.1,0.2,0.3,1.012,0.46,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.26,27,26,-134,-0.963,-0.084,0.293,5.0,1.2,0.3,1.01,0.194,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.27,28,27,-133,-0.961,-0.079,0.289,5.6,1.6,0.4,1.007,0.364,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.28,29,28,-132,-0.963,-0.076,0.279,5.5,2.6,0.6,1.005,0.118,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.29,30,29,-131,-0.958,-0.079,0.276,4.8,3.4,0.7,1.001,0.474,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
S01_sit_down_001,not_fall,0,sit_down,0.30,31,30,-130,-0.97,-0.079,0.269,4.0,3.7,0.5,1.01,0.931,True,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
