trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_stairs_008,not_fall,0,stairs,0.00,1,0,-160,-1.038,-0.104,-0.397,-30.9,65.4,-49.4,1.116,0.993,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.01,2,1,-159,-1.038,-0.104,-0.384,-39.8,64.1,-54.8,1.111,0.497,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.02,3,2,-158,-1.037,-0.117,-0.392,-36.4,58.9,-51.5,1.115,0.39,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.03,4,3,-157,-0.977,-0.093,-0.422,-25.8,48.7,-42.5,1.068,4.699,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.04,5,4,-156,-0.863,-0.051,-0.444,-10.1,32.4,-29.1,0.972,9.656,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.05,6,5,-155,-0.773,-0.007,-0.459,8.2,15.3,-15.4,0.9,7.196,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.06,7,6,-154,-0.742,0.057,-0.431,25.8,5.1,-4.0,0.86,3.993,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.07,8,7,-153,-0.704,0.102,-0.423,35.9,5.0,8.1,0.828,3.201,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.08,9,8,-152,-0.721,0.037,-0.462,39.9,8.3,14.6,0.858,3.003,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.09,10,9,-151,-0.73,-0.019,-0.491,36.2,7.2,17.8,0.881,2.274,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.10,11,10,-150,-0.745,-0.017,-0.453,28.6,5.2,14.7,0.872,0.823,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.11,12,11,-149,-0.788,-0.007,-0.417,19.4,5.2,6.2,0.892,1.94,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.12,13,12,-148,-0.813,-0.011,-0.374,11.0,5.8,-1.2,0.895,0.322,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.13,14,13,-147,-0.866,-0.039,-0.334,7.1,1.9,-3.9,0.929,3.409,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.14,15,14,-146,-0.913,-0.077,-0.298,6.0,-2.7,-1.8,0.963,3.431,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.15,16,15,-145,-0.906,-0.07,-0.282,8.5,-8.9,3.4,0.951,1.219,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.16,17,16,-144,-0.877,-0.059,-0.245,13.6,-13.8,10.3,0.913,3.855,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.17,18,17,-143,-0.855,-0.059,-0.213,19.3,-15.5,15.7,0.883,2.912,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.18,19,18,-142,-0.845,-0.071,-0.209,21.6,-15.1,19.1,0.874,0.962,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.19,20,19,-141,-0.839,-0.098,-0.205,20.4,-14.5,20.7,0.87,0.399,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.20,21,20,-140,-0.857,-0.127,-0.196,18.2,-15.0,20.1,0.888,1.845,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.21,22,21,-139,-0.869,-0.152,-0.177,16.2,-14.9,23.1,0.9,1.165,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.22,23,22,-138,-0.861,-0.149,-0.157,14.2,-16.2,26.7,0.888,1.21,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.23,24,23,-137,-0.86,-0.139,-0.167,12.2,-17.7,29.4,0.887,0.087,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
S01_stairs_008,not_fall,0,stairs,0.24,25,24,-136,-0.85,-0.126,-0.172,10.0,-21.6,31.9,0.877,1.034,True,160,suspected_fall_peak1.10_az0.14_maxGyro59.6_thetaSwing17.8
