trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_stand_up_021,not_fall,0,stand_up,0.00,1,0,-160,0.191,0.162,1.088,27.9,-18.0,-3.6,1.116,1.626,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.01,2,1,-159,0.226,0.19,1.057,33.4,-20.5,-3.0,1.098,1.865,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.02,3,2,-158,0.266,0.214,0.994,36.6,-26.3,-3.3,1.051,4.607,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.03,4,3,-157,0.301,0.229,0.971,36.1,-29.5,-5.8,1.042,0.942,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.04,5,4,-156,0.291,0.271,1.003,33.1,-28.8,-6.8,1.079,3.718,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.05,6,5,-155,0.295,0.335,1.074,31.3,-24.9,-5.3,1.163,8.423,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.06,7,6,-154,0.212,0.275,1.145,29.3,-14.7,-7.5,1.197,3.38,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.07,8,7,-153,0.196,0.258,1.171,29.1,-0.6,-4.8,1.215,1.774,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.08,9,8,-152,0.145,0.221,1.163,24.7,12.0,-2.9,1.193,2.235,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
S01_stand_up_021,not_fall,0,stand_up,0.09,10,9,-151,0.09,0.186,1.138,17.0,20.6,0.7,1.157,3.599,True,160,suspected_fall_peak1.78_az0.42_maxGyro416.1_thetaSwing53.5
