trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_walk_023,not_fall,0,walk,0.00,1,0,-160,-0.86,-0.498,0.201,9.2,4.1,-2.3,1.014,0.412,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.01,2,1,-159,-0.862,-0.5,0.209,9.3,2.1,-2.1,1.019,0.477,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.02,3,2,-158,-0.853,-0.496,0.205,8.7,1.4,-1.8,1.008,1.029,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.03,4,3,-157,-0.845,-0.496,0.204,8.4,1.0,-2.1,1.001,0.735,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.04,5,4,-156,-0.845,-0.495,0.207,7.4,1.1,-2.2,1.001,0.013,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.05,6,5,-155,-0.845,-0.494,0.196,5.9,1.1,-2.1,0.999,0.206,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.06,7,6,-154,-0.842,-0.495,0.174,4.5,-0.4,-2.2,0.993,0.65,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.07,8,7,-153,-0.84,-0.496,0.206,6.2,0.1,-2.0,0.997,0.452,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.08,9,8,-152,-0.841,-0.495,0.198,7.4,2.6,-1.8,0.996,0.118,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
S01_walk_023,not_fall,0,walk,0.09,10,9,-151,-0.851,-0.49,0.206,8.3,5.0,-1.2,1.003,0.749,True,160,suspected_fall_peak1.54_az0.13_maxGyro137.7_thetaSwing10.7
